"Volgnummer","id_geo","Plaats","Straat","Huisnummer","Toevoeging","Kad. gemeente","Kad. sectie","Kadastraal perceelnr.","Bram","dubbel_bram","geometry","geopackage","dubbel_geo"
"66329","54543","Andijk","Pietersbuur","16",NULL,"Andijk","K","4460","JA",False,"0101000020E61000005BFBEAB51DD71440C8927CE3B95F4A40","JA",False
"66330","54544","Andijk","Pietersbuur","18",NULL,"Andijk","K","4419","JA",False,"0101000020E610000053C16D6F15D714404590F18EBB5F4A40","JA",False
"66331","54545","Andijk","Pietersbuur","20",NULL,"Andijk","K","4417","JA",False,"0101000020E6100000879B40B10ED71440A583D710BD5F4A40","JA",False
"66332","54546","Andijk","Pietersbuur","22",NULL,"Andijk","K","4472","JA",False,"0101000020E6100000F489637B09D714407CBB7CAABE5F4A40","JA",False
"66333","54547","Andijk","Pietersbuur","24",NULL,"Andijk","K","4415","JA",False,"0101000020E61000007BE56FE600D71440D077622CC05F4A40","JA",False
"66334","54548","Andijk","Pietersbuur","26",NULL,"Andijk","K","4491","JA",False,"0101000020E6100000CAEA558BF9D614401323E7D1C15F4A40","JA",False
"66335","54549","Andijk","Pietersbuur","28",NULL,"Andijk","K","4524","JA",False,"0101000020E6100000F30E5802E5D61440980C13B2C45F4A40","JA",False
"66336","54550","Andijk","Pietersbuur","30",NULL,"Andijk","K","4554","JA",False,"0101000020E61000005D3F510ADDD614405C609757C65F4A40","JA",False
"66337","54551","Andijk","Pietersbuur","32",NULL,"Andijk","K","4522","JA",False,"0101000020E6100000AF026171D8D61440B8947CD9C75F4A40","JA",False
"66338","54552","Andijk","Pietersbuur","34",NULL,"Andijk","K","4520","JA",False,"0101000020E6100000381C979ED2D6144018584167C95F4A40","JA",False
"66339","54553","Andijk","Pietersbuur","36",NULL,"Andijk","K","4530","JA",False,"0101000020E61000004D0D2DBBC9D6144057A28424CB5F4A40","JA",False
"66340","54554","Andijk","Pietersbuur","38",NULL,"Andijk","K","4518","JA",False,"0101000020E6100000BAFB4F85C4D61440BE89CA82CC5F4A40","JA",False
"66341","54555","Andijk","Pietersbuur","40",NULL,"Andijk","K","4557","JA",False,"0101000020E61000009954E99DBFD614400EB6BC5DCE5F4A40","JA",False
"66342","54556","Andijk","Beldersweg","6",NULL,"Andijk","K","1589","JA",False,"0101000020E61000008E8BDE1BB8D414403CEE2CAEDA5F4A40","JA",False
"66343","54557","Andijk","Beldersweg","8",NULL,"Andijk","K","4413","JA",False,"0101000020E6100000BA148AD997D514401C4B411EDC5F4A40","JA",False
"66344","54558","Andijk","Beldersweg","10",NULL,"Andijk","K","4466","JA",False,"0101000020E61000008D30CE89E7D51440EA84FD94DC5F4A40","JA",False
"66345","54559","Andijk","Beldersweg","12",NULL,"Andijk","K","4485","JA",False,"0101000020E6100000FD56DE8328D6144033BCB90BDD5F4A40","JA",False
"66346","54560","Andijk","Beldersweg","14",NULL,"Andijk","K","4487","JA",False,"0101000020E610000055CE2E9F6FD61440F4F07582DD5F4A40","JA",False
"66347","54561","Andijk","Beldersweg","16",NULL,"Andijk","K","4342","JA",False,"0101000020E610000084A671CAA6D6144055162F58DE5F4A40","JA",False
"66348","54562","Andijk","Beldersweg","18",NULL,"Andijk","K","4545","JA",False,"0101000020E61000009151117C1CD714404E8FAD87DE5F4A40","JA",False
"66349","54563","Andijk","Beldersweg","20",NULL,"Andijk","K","4671","JA",False,"0101000020E6100000007821765DD71440286FA745DF5F4A40","JA",False
"66350","54564","Andijk","Beldersweg","22",NULL,"Andijk","K","4701","JA",False,"0101000020E6100000A377BCA6B6D71440C7830581DF5F4A40","JA",False
